Dayafterspraying;Treatment;Mean;Std;Letter
1day;FT337 15?;18;3,741657387;ab
1day;FT337 20?;26;8,124038405;ab
1day;FT337 25?;28;4,898979486;ab
1day;FT337 30?;28;3,741657387;ab
1day;FT337 35?;36;4;a
1day;Control 15?;0;0;b
1day;Control 20?;10;5,773502692;ab
1day;Control 25?;3,333333333;3,333333333;b
1day;Control 30?;0;0;b
1day;Control 35?;3,333333333;3,333333333;b
2day;FT337 15?;42;3,741657387;b
2day;FT337 20?;58;3,741657387;ab
2day;FT337 25?;72;3,741657387;a
2day;FT337 30?;66;6;a
2day;FT337 35?;62;5,830951895;ab
2day;Control 15?;3,333333333;3,333333333;c
2day;Control 20?;13,33333333;3,333333333;c
2day;Control 25?;3,333333333;3,333333333;c
2day;Control 30?;3,333333333;3,333333333;c
2day;Control 35?;10;0;c
3day;FT337 15?;70;7,745966692;b
3day;FT337 20?;84;2,449489743;b
3day;FT337 25?;96;2,449489743;a
3day;FT337 30?;90;3,16227766;b
3day;FT337 35?;82;2;b
3day;Control 15?;6,666666667;3,333333333;c
3day;Control 20?;13,33333333;3,333333333;c
3day;Control 25?;6,666666667;3,333333333;c
3day;Control 30?;6,666666667;3,333333333;c
3day;Control 35?;10;0;c
4day;FT337 15?;90;3,16227766;a
4day;FT337 20?;96;2,449489743;a
4day;FT337 25?;100;0;a
4day;FT337 30?;94;4;a
4day;FT337 35?;96;4;a
4day;Control 15?;6,666666667;3,333333333;b
4day;Control 20?;13,33333333;3,333333333;b
4day;Control 25?;6,666666667;3,333333333;b
4day;Control 30?;13,33333333;3,333333333;b
4day;Control 35?;16,66666667;3,333333333;b
5day;FT337 15?;100;0;a
5day;FT337 20?;100;0;a
5day;FT337 25?;100;0;a
5day;FT337 30?;100;0;a
5day;FT337 35?;100;0;a
5day;Control 15?;13,33333333;3,333333333;bc
5day;Control 20?;13,33333333;3,333333333;bc
5day;Control 25?;6,666666667;3,333333333;c
5day;Control 30?;13,33333333;3,333333333;bc
5day;Control 35?;16,66666667;3,333333333;b
